id,rawData,merchantAccountCode,pspReference,merchantReference,timestamp,eventDate,eventCode,success,reason,paymentMethod,originalReference
"1","{'merchantAccountCode': 'ColinRood', 'eventCode': 'AUTHORISATION', 'paymentMethod': 'mc', 'eventDate': '2018-02-12T20:22:10+01:00', 'merchantReference': 'PM authorise card', 'success': 'false', 'pspReference': '8815184633303244', 'additionalData': {'paymentMethod': 'mc', 'fraudCheck-11-HolderNameIsOneWord': '0', 'expiryDate': '08/2018', 'fraudManualReview': 'false', 'fraudCheck-3-PaymentDetailUsage': '0', 'aliasType': 'Default', 'fraudCheck-1-PaymentDetailRefCheck': '0', 'cardSummary': '0001', 'totalFraudScore': '0', 'fraudCheck-4-HolderNameUsage': '0', 'alias': 'K201763671967206', 'fraudCheck-2-CardChunkUsage': '0', 'fraudCheck-13-IssuerRefCheck': '0', 'fraudCheck-10-HolderNameContainsNumber': '0', 'fraudCheck-41-PaymentDetailNonFraudRefCheck': '0', 'fraudCheck-27-PmOwnerRefCheck': '0', 'fraudResultType': 'GREEN'}, 'amount': {'value': 1500, 'currency': 'EUR'}, 'reason': 'Refused'}","ColinRood","8815184633303244","PM authorise card","1518463331.01221","None","AUTHORISATION","False","Refused","mc",""
"2","{'merchantAccountCode': 'ColinRood', 'eventCode': 'AUTHORISATION', 'paymentMethod': 'visa', 'eventDate': '2018-03-06T19:21:53+01:00', 'operations': ['CANCEL', 'CAPTURE', 'REFUND'], 'merchantReference': 'Integrations overview - checkout', 'success': 'true', 'pspReference': '8535203605132297', 'additionalData': {'alias': 'H167852639363479', 'cardIssuingCountry': 'NL', 'cardBin': '411111', 'authCode': '85324', 'recurring.recurringDetailReference': '8415199339041751', 'cardPaymentMethod': 'visa', 'aliasType': 'Default', 'cardSummary': '1111', 'recurring.shopperReference': 'localhostCheckout1', 'expiryDate': '08/2018'}, 'amount': {'value': 199, 'currency': 'USD'}, 'reason': '85324:1111:08/2018'}","ColinRood","8535203605132297","Integrations overview - checkout","1520360515.87176","None","AUTHORISATION","True","85324:1111:08/2018","visa",""
"3","{'merchantAccountCode': 'ColinRood', 'eventCode': 'AUTHORISATION', 'paymentMethod': 'unknowncard', 'eventDate': '2018-02-12T20:22:29+01:00', 'merchantReference': 'PM authorise card', 'success': 'false', 'pspReference': '8815184633418059', 'additionalData': {'expiryDate': '08/2018', 'cardSummary': '0001'}, 'amount': {'value': 1500, 'currency': 'EUR'}, 'reason': '101 Invalid card number'}","ColinRood","8815184633418059","PM authorise card","1518463372.14626","None","AUTHORISATION","False","101 Invalid card number","unknowncard",""
"4","{'eventCode': 'REPORT_AVAILABLE', 'merchantAccountCode': 'ColinRood', 'eventDate': '2018-01-10T07:01:00+01:00', 'merchantReference': '', 'success': 'true', 'pspReference': 'received_payments_report_2018_01_09.csv', 'amount': {'value': 0, 'currency': 'EUR'}, 'reason': 'https://ca-test.adyen.com/reports/download/MerchantAccount/ColinRood/received_payments_report_2018_01_09.csv'}","ColinRood","received_payments_report_2018_01_09.csv","","1516274981.27111","None","REPORT_AVAILABLE","True","https://ca-test.adyen.com/reports/download/MerchantAccount/ColinRood/received_payments_report_2018_01_09.csv","",""
"5","{'eventCode': 'REPORT_AVAILABLE', 'merchantAccountCode': 'ColinRood', 'eventDate': '2018-01-10T07:01:00+01:00', 'merchantReference': '', 'success': 'true', 'pspReference': 'received_payments_report_2018_01_09.csv', 'amount': {'value': 0, 'currency': 'EUR'}, 'reason': 'https://ca-test.adyen.com/reports/download/MerchantAccount/ColinRood/received_payments_report_2018_01_09.csv'}","ColinRood","received_payments_report_2018_01_09.csv","","1516274789.17549","None","REPORT_AVAILABLE","True","https://ca-test.adyen.com/reports/download/MerchantAccount/ColinRood/received_payments_report_2018_01_09.csv","",""
"6","{'merchantAccountCode': 'ColinRood', 'eventCode': 'AUTHORISATION', 'paymentMethod': 'visa', 'eventDate': '2018-03-06T00:52:12+01:00', 'operations': ['CANCEL', 'CAPTURE', 'REFUND'], 'merchantReference': 'Integrations overview - checkout', 'success': 'true', 'pspReference': '8535202939320719', 'additionalData': {'alias': 'H167852639363479', 'cardIssuingCountry': 'NL', 'cardBin': '411111', 'authCode': '79455', 'recurring.recurringDetailReference': '8415199339041751', 'cardPaymentMethod': 'visa', 'aliasType': 'Default', 'cardSummary': '1111', 'recurring.shopperReference': 'localhostCheckout1', 'expiryDate': '08/2018'}, 'amount': {'value': 199, 'currency': 'USD'}, 'reason': '79455:1111:08/2018'}","ColinRood","8535202939320719","Integrations overview - checkout","1520293934.3827","None","AUTHORISATION","True","79455:1111:08/2018","visa",""
"7","{'merchantAccountCode': 'ColinRood', 'eventCode': 'CAPTURE', 'paymentMethod': 'visa', 'eventDate': '2017-10-31T23:35:48+01:00', 'merchantReference': 'PM Authorise card - additional data fields', 'success': 'false', 'pspReference': '8535094893478751', 'originalReference': '8835066165571023', 'amount': {'value': 1500, 'currency': 'EUR'}, 'reason': 'Insufficient balance on payment'}","ColinRood","8535094893478751","PM Authorise card - additional data fields","1509489403.73547","None","CAPTURE","False","Insufficient balance on payment","visa",""
"8","{'eventCode': 'AUTHORISATION', 'paymentMethod': 'paypal', 'eventDate': '2018-03-01T20:49:03+01:00', 'merchantReference': 'Localhost checkout', 'success': 'false', 'pspReference': '8815199337293871', 'merchantAccountCode': 'ColinRood', 'amount': {'value': 0, 'currency': 'USD'}, 'reason': 'Acquirer Error'}","ColinRood","8815199337293871","Localhost checkout","1519933771.80775","None","AUTHORISATION","False","Acquirer Error","paypal",""
"9","{'merchantAccountCode': 'ColinRood', 'eventCode': 'AUTHORISATION', 'paymentMethod': 'visa', 'eventDate': '2017-12-29T20:48:15+01:00', 'operations': ['CANCEL', 'CAPTURE', 'REFUND'], 'merchantReference': 'Localhost CSE', 'success': 'true', 'pspReference': '8835145768952572', 'additionalData': {'avsResult': '4 AVS not supported for this card type', 'expiryDate': '08/2018', 'authCode': '59634', 'cvcResult': '1 Matches', 'aliasType': 'Default', 'refusalReasonRaw': 'AUTHORISED', 'cvcResultRaw': '1', 'cardSummary': '1111', 'acquirerCode': 'TestPmmAcquirer', 'alias': 'H167852639363479', 'avsResultRaw': '4', 'acquirerReference': '7F5GV74LBU7'}, 'amount': {'value': 1500, 'currency': 'USD'}, 'reason': '59634:1111:08/2018'}","ColinRood","8835145768952572","Localhost CSE","1514576895.60349","None","AUTHORISATION","True","59634:1111:08/2018","visa",""
"10","{'merchantAccountCode': 'ColinRood', 'eventCode': 'CAPTURE', 'paymentMethod': 'visa', 'eventDate': '2017-10-31T23:35:48+01:00', 'merchantReference': 'PM Authorise card - additional data fields', 'success': 'false', 'pspReference': '8535094893478751', 'originalReference': '8835066165571023', 'amount': {'value': 1500, 'currency': 'EUR'}, 'reason': 'Insufficient balance on payment'}","ColinRood","8535094893478751","PM Authorise card - additional data fields","1515513667.33047","None","CAPTURE","False","Insufficient balance on payment","visa","8835066165571023"
"18","{'eventCode': 'REPORT_AVAILABLE', 'merchantAccountCode': 'ColinRood', 'eventDate': '2018-01-10T07:01:00+01:00', 'merchantReference': '', 'success': 'true', 'pspReference': 'received_payments_report_2018_01_09.csv', 'amount': {'value': 0, 'currency': 'EUR'}, 'reason': 'https://ca-test.adyen.com/reports/download/MerchantAccount/ColinRood/received_payments_report_2018_01_09.csv'}","ColinRood","received_payments_report_2018_01_09.csv","","1515671935.95842","None","REPORT_AVAILABLE","True","https://ca-test.adyen.com/reports/download/MerchantAccount/ColinRood/received_payments_report_2018_01_09.csv","",""
"11","{'merchantAccountCode': 'ColinRood', 'eventCode': 'AUTHORISATION', 'paymentMethod': 'visa', 'eventDate': '2018-01-26T20:30:05+01:00', 'operations': ['CANCEL', 'CAPTURE', 'REFUND'], 'merchantReference': 'localhostHPP', 'success': 'true', 'pspReference': '8825169950059998', 'additionalData': {'alias': 'H167852639363479', 'avsResult': '4 AVS not supported for this card type', 'fraudManualReview': 'false', 'fraudCheck-7-ShopperIpUsage': '0', 'fraudCheck-28-AnonymousProxyCheck': '0', 'cvcResult': '1 Matches', 'fraudCheck-6-ShopperIpRefCheck': '0', 'fraudCheck-25-CVCAuthResultCheck': '0', 'fraudCheck-9-ShopperIpIssuingCountry': '10', 'acquirerCode': 'TestPmmAcquirer', 'refusalReasonRaw': 'AUTHORISED', 'fraudCheck-2-CardChunkUsage': '0', 'fraudCheck-5-IPCountryReferral': '0', 'fraudCheck-10-HolderNameContainsNumber': '0', 'fraudCheck-41-PaymentDetailNonFraudRefCheck': '50', 'fraudResultType': 'GREEN', 'acquirerReference': '7CAJ9FHTBJ7', 'fraudCheck-11-HolderNameIsOneWord': '1', 'expiryDate': '08/2018', 'authCode': '33495', 'fraudCheck-3-PaymentDetailUsage': '0', 'paymentMethod': 'visa', 'aliasType': 'Default', 'fraudCheck-1-PaymentDetailRefCheck': '0', 'cardSummary': '1111', 'totalFraudScore': '61', 'fraudCheck-4-HolderNameUsage': '0', 'cvcResultRaw': '1', 'fraudCheck-13-IssuerRefCheck': '0', 'fraudCheck-15-IssuingCountryReferral': '0', 'avsResultRaw': '4', 'fraudCheck-27-PmOwnerRefCheck': '0'}, 'amount': {'value': 1499, 'currency': 'USD'}, 'reason': '33495:1111:08/2018'}","ColinRood","8825169950059998","localhostHPP","1516995006.61777","None","AUTHORISATION","True","33495:1111:08/2018","visa",""
